Exp,Time,Base_equvi,Cu_catalyst,Base,Yield,priority
29,75.2,1.74,Cu(OTf)2,DBU,PENDING,1.0
22,90.0,2.0,Cu(BF4)2,DBU,PENDING,1.0
19,45.0,2.0,Cu(BF4)2,DBU,PENDING,1.0
36,57.3,1.58,Cu(OTf)2,DBU,PENDING,0.0
35,45.0,1.34,Cu(OTf)2,DBU,PENDING,0.0
34,83.8,1.7,Cu(OTf)2,DBU,PENDING,0.0
33,45.0,1.5,Cu(OTf)2,DBU,PENDING,0.0
32,84.9,1.83,Cu(OTf)2,DBU,PENDING,0.0
31,45.0,2.0,Cu(OTf)2,DBU,PENDING,0.0
30,90.0,2.0,Cu(OTf)2,DBU,PENDING,0.0
28,77.4,1.37,Cu(OTf)2,DBU,PENDING,0.0
27,75.3,2.0,Cu(OTf)2,DBU,PENDING,0.0
25,62.2,1.32,Cu(OTf)2,DBU,PENDING,0.0
24,90.0,1.29,Cu(OTf)2,DBU,PENDING,0.0
23,78.7,1.34,Cu(BF4)2,DBU,PENDING,0.0
21,90.0,1.62,Cu(OTf)2,DBU,PENDING,0.0
20,90.0,1.06,Cu(OTf)2,DBU,PENDING,0.0
18,90.0,1.66,Cu(BF4)2,DBU,PENDING,0.0
17,68.9,1.25,Cu(BF4)2,DBU,PENDING,0.0
16,90.0,1.09,Cu(BF4)2,DBU,PENDING,0.0
15,90.0,1.38,Cu(BF4)2,DBU,PENDING,0.0
14,90.0,1.22,Cu(BF4)2,DBU,PENDING,0.0
13,90.0,1.22,CuCl2,DBU,PENDING,0.0
12,90.0,1.23,CuBr2,DBU,PENDING,0.0
11,90.0,1.37,CuBr2,DBU,PENDING,0.0
10,81.9,1.31,CuBr2,DBU,PENDING,0.0
8,69.2,1.0,CuBr2,DBU,PENDING,0.0
7,68.6,1.32,CuBr2,DBU,PENDING,0.0
6,62.0,1.17,CuBr2,DBU,PENDING,0.0
5,48.9,1.14,CuBr2,DBU,PENDING,0.0
4,74.8,1.99,Cu(BF4)2,NMI,PENDING,0.0
2,74.0,1.96,CuBr2,NMI,PENDING,0.0
1,52.4,1.23,CuBr2,DBU,PENDING,0.0
26,62.5,1.32,Cu(BF4)2,DBU,95.0,-1.0
9,68.4,1.46,CuBr2,DBU,69.2,-1.0
3,62.1,1.34,Cu(OTf)2,NMI,2.0,-1.0
