T,concentration,TIME
95,0.1,5
95,0.1,10
95,0.1,20
95,0.1,30
95,0.2,5
95,0.2,10
95,0.2,20
95,0.2,30
95,0.4,5
95,0.4,10
95,0.4,20
95,0.4,30
95,0.8,5
95,0.8,10
95,0.8,20
95,0.8,30
100,0.1,5
100,0.1,10
100,0.1,20
100,0.1,30
100,0.2,5
100,0.2,10
100,0.2,20
100,0.2,30
100,0.4,5
100,0.4,10
100,0.4,20
100,0.4,30
100,0.8,5
100,0.8,10
100,0.8,20
100,0.8,30
105,0.1,5
105,0.1,10
105,0.1,20
105,0.1,30
105,0.2,5
105,0.2,10
105,0.2,20
105,0.2,30
105,0.4,5
105,0.4,10
105,0.4,20
105,0.4,30
105,0.8,5
105,0.8,10
105,0.8,20
105,0.8,30
110,0.1,5
110,0.1,10
110,0.1,20
110,0.1,30
110,0.2,5
110,0.2,10
110,0.2,20
110,0.2,30
110,0.4,5
110,0.4,10
110,0.4,20
110,0.4,30
110,0.8,5
110,0.8,10
110,0.8,20
110,0.8,30
115,0.1,5
115,0.1,10
115,0.1,20
115,0.1,30
115,0.2,5
115,0.2,10
115,0.2,20
115,0.2,30
115,0.4,5
115,0.4,10
115,0.4,20
115,0.4,30
115,0.8,5
115,0.8,10
115,0.8,20
115,0.8,30
120,0.1,5
120,0.1,10
120,0.1,20
120,0.1,30
120,0.2,5
120,0.2,10
120,0.2,20
120,0.2,30
120,0.4,5
120,0.4,10
120,0.4,20
120,0.4,30
120,0.8,5
120,0.8,10
120,0.8,20
120,0.8,30
125,0.1,5
125,0.1,10
125,0.1,20
125,0.1,30
125,0.2,5
125,0.2,10
125,0.2,20
125,0.2,30
125,0.4,5
125,0.4,10
125,0.4,20
125,0.4,30
125,0.8,5
125,0.8,10
125,0.8,20
125,0.8,30
